# JS Function Inventory
# Total functions found: 135

  app          | line     9 | setTheme
  api          | line    65 | apiFetch
  api          | line    74 | fetchJSON
  utils        | line    81 | makeDayBuckets
  app          | line    98 | switchView
  explore      | line   113 | switchExploreTab
  app          | line   122 | handleHash
  recall       | line   129 | performRecall
  unknown      | line   157 | renderResults
  unknown      | line   194 | toggleExpand
  recall       | line   199 | submitFeedback
  recall       | line   218 | toggleRemember
  recall       | line   224 | submitRemember
  explore      | line   248 | loadExploreTab
  explore      | line   264 | loadEpisodes
  explore      | line   303 | loadMemories
  explore      | line   396 | loadPatterns
  explore      | line   422 | archivePattern
  explore      | line   436 | loadAbstractions
  explore      | line   462 | filterExplore
  timeline     | line   483 | setTimelineRange
  timeline     | line   494 | toggleTimelineType
  timeline     | line   501 | filterTimeline
  recall       | line   508 | clearTimelineSearch
  timeline     | line   517 | populateTimelineProjects
  timeline     | line   532 | toggleTimelineProject
  timeline     | line   544 | getTimelineRangeCutoff
  timeline     | line   557 | filterTimelineItems
  unknown      | line   581 | groupByDate
  timeline     | line   601 | renderTimelineItems
  timeline     | line   626 | renderTimelineCard
  timeline     | line   717 | expandTimelineCard
  timeline     | line   724 | toggleTimelineTag
  timeline     | line   734 | hoverTimelineTag
  timeline     | line   739 | unhoverTimelineTag
  timeline     | line   744 | applyTimelineTagHighlight
  timeline     | line   760 | highlightTimelineCards
  timeline     | line   785 | clearAllTimelineHighlight
  timeline     | line   794 | loadTimelineData
  timeline     | line   878 | setupTimelineScroll
  timeline     | line   888 | renderTimelineSparkline
  unknown      | line   935 | fmtDate
  unknown      | line  1007 | toggleDrawer
  unknown      | line  1021 | loadActivityConcepts
  unknown      | line  1054 | updateBadge
  unknown      | line  1063 | _nonZero
  unknown      | line  1067 | buildEventDetail
  unknown      | line  1124 | addEvent
  unknown      | line  1143 | clearEvents
  unknown      | line  1145 | triggerConsolidation
  utils        | line  1151 | formatInsightDetail
  unknown      | line  1189 | loadInsights
  app          | line  1212 | loadStats
  unknown      | line  1237 | loadProjects
  api          | line  1252 | connectWebSocket
  app          | line  1301 | showToast
  timeline     | line  1314 | setLLMRange
  llm          | line  1324 | loadLLMUsage
  llm          | line  1432 | renderLLMChart
  tools        | line  1547 | setAnalyticsRange
  tools        | line  1557 | setToolRange
  tools        | line  1567 | loadToolUsage
  unknown      | line  1617 | percentile
  unknown      | line  1758 | _thresholdColor
  tools        | line  1764 | _renderSparkline
  unknown      | line  1779 | _computeDelta
  tools        | line  1791 | loadAnalytics
  tools        | line  2001 | renderLifecycleChart
  tools        | line  2124 | renderSignalChart
  recall       | line  2186 | renderRecallChart
  unknown      | line  2251 | _buildSessionEnrichment
  unknown      | line  2271 | toggleSession
  timeline     | line  2278 | loadSessionTimeline
  utils        | line  2364 | formatBytes
  tools        | line  2370 | renderToolChart
  utils        | line  2477 | escapeHtml
  utils        | line  2478 | simpleMarkdown
  tools        | line  2503 | toggleToolDetail
  utils        | line  2541 | relativeTime
  sdk          | line  2553 | loadAgentData
  sdk          | line  2575 | refreshAgentData
  sdk          | line  2582 | renderAgentDashboard
  sdk          | line  2597 | renderAgentStats
  unknown      | line  2621 | cardHtml
  sdk          | line  2639 | renderSDKCostChart
  sdk          | line  2711 | renderAgentMemoryBar
  sdk          | line  2727 | renderAgentPrinciples
  sdk          | line  2757 | renderAgentStrategies
  sdk          | line  2790 | renderAgentTimeline
  sdk          | line  2804 | renderAgentSessions
  sdk          | line  2840 | renderAgentPatches
  utils        | line  2871 | renderMarkdown
  sdk          | line  2902 | initAgentChat
  sdk          | line  2917 | connectAgentChat
  unknown      | line  2948 | scheduleReconnect
  sdk          | line  2953 | setChatStatus
  sdk          | line  2962 | handleChatMessage
  sdk          | line  3083 | appendChatBubble
  sdk          | line  3099 | scrollChatBottom
  sdk          | line  3105 | sendChatMessage
  sdk          | line  3128 | toggleChatHistory
  unknown      | line  3140 | renderConversationList
  sdk          | line  3165 | loadConversation
  unknown      | line  3172 | displayLoadedConversation
  unknown      | line  3217 | deleteConversation
  unknown      | line  3222 | startNewConversation
  unknown      | line  3231 | onModelChange
  unknown      | line  3240 | checkForUpdate
  unknown      | line  3263 | waitForRestart
  unknown      | line  3290 | triggerUpdate
  mind         | line  3326 | getGraphColor
  unknown      | line  3332 | invalidateColorCache
  mind         | line  3334 | mindEdgeStyle
  mind         | line  3346 | mindColorScale
  unknown      | line  3362 | nodeRadius
  mind         | line  3364 | computeMindStats
  mind         | line  3410 | renderMindStats
  mind         | line  3424 | buildMindLegend
  mind         | line  3443 | buildMindAdjacency
  unknown      | line  3455 | getNeighborhood
  mind         | line  3472 | showMindDetail
  mind         | line  3540 | closeMindDetail
  recall       | line  3546 | mindSearchConcept
  recall       | line  3554 | onMindSearch
  recall       | line  3564 | clearMindSearch
  recall       | line  3571 | applyMindSearch
  mind         | line  3595 | applyMindNeighborhood
  mind         | line  3614 | clearMindHighlight
  mind         | line  3626 | updateMindColors
  mind         | line  3636 | setMindView
  mind         | line  3645 | onMindFilterChange
  mind         | line  3655 | buildMindGraph
  mind         | line  3810 | onMindEscape
  mind         | line  3821 | loadMindGraph
  app          | line  3879 | initializeApp
